Time_Index,natgas_SE,natgas_MIDAT,natgas_NE,uranium_source
1,12.55668122,12.21546705,15.01342319,2.490863394
2,12.55668122,12.21546705,15.01342319,2.490863394
3,12.55668122,12.21546705,15.01342319,2.490863394
4,12.55668122,12.21546705,15.01342319,2.490863394
5,12.55668122,12.21546705,15.01342319,2.490863394
6,12.55668122,12.21546705,15.01342319,2.490863394
7,12.55668122,12.21546705,15.01342319,2.490863394
8,12.55668122,12.21546705,15.01342319,2.490863394
9,12.55668122,12.21546705,15.01342319,2.490863394
10,12.55668122,12.21546705,15.01342319,2.490863394
11,12.55668122,12.21546705,15.01342319,2.490863394
12,12.55668122,12.21546705,15.01342319,2.490863394
13,12.55668122,12.21546705,15.01342319,2.490863394
14,12.55668122,12.21546705,15.01342319,2.490863394
15,12.55668122,12.21546705,15.01342319,2.490863394
16,12.55668122,12.21546705,15.01342319,2.490863394
17,12.55668122,12.21546705,15.01342319,2.490863394
18,12.55668122,12.21546705,15.01342319,2.490863394
19,12.55668122,12.21546705,15.01342319,2.490863394
20,12.55668122,12.21546705,15.01342319,2.490863394
21,12.55668122,12.21546705,15.01342319,2.490863394
22,12.55668122,12.21546705,15.01342319,2.490863394
23,12.55668122,12.21546705,15.01342319,2.490863394
24,12.55668122,12.21546705,15.01342319,2.490863394
25,12.55668122,12.21546705,15.01342319,2.490863394
26,12.55668122,12.21546705,15.01342319,2.490863394
27,12.55668122,12.21546705,15.01342319,2.490863394
28,12.55668122,12.21546705,15.01342319,2.490863394
29,12.55668122,12.21546705,15.01342319,2.490863394
30,12.55668122,12.21546705,15.01342319,2.490863394
31,12.55668122,12.21546705,15.01342319,2.490863394
32,12.55668122,12.21546705,15.01342319,2.490863394
33,12.55668122,12.21546705,15.01342319,2.490863394
34,12.55668122,12.21546705,15.01342319,2.490863394
35,12.55668122,12.21546705,15.01342319,2.490863394
36,12.55668122,12.21546705,15.01342319,2.490863394
37,12.55668122,12.21546705,15.01342319,2.490863394
38,12.55668122,12.21546705,15.01342319,2.490863394
39,12.55668122,12.21546705,15.01342319,2.490863394
40,12.55668122,12.21546705,15.01342319,2.490863394
41,12.55668122,12.21546705,15.01342319,2.490863394
42,12.55668122,12.21546705,15.01342319,2.490863394
43,12.55668122,12.21546705,15.01342319,2.490863394
44,12.55668122,12.21546705,15.01342319,2.490863394
45,12.55668122,12.21546705,15.01342319,2.490863394
46,12.55668122,12.21546705,15.01342319,2.490863394
47,12.55668122,12.21546705,15.01342319,2.490863394
48,12.55668122,12.21546705,15.01342319,2.490863394
49,12.55668122,12.21546705,15.01342319,2.490863394
